c5,remark,,,,,,,,
20190927014439A,AIRMAN RAN OFF END OF RUNWAY:,,,,,,,,
,,,,,,,,,
THE FOLLOWING INFORMATION WAS OBTAINED BY INTERVIEWING THE AIRMAN AND WAS LATER CONFIRMED UPON REVIEW OF AUDIO RECORDINGS:,,,,,,,,,
,,,,,,,,,
THE AIRMAN (PIC FOR N4119S) CONTACTED GROUND CONTROL (GC) WITH A REQUEST FOR TOUCH AND GO LANDINGS. THE SCHOOL PRIMARILY ALLOWS FULL STOP / TAXI BACK OPERATIONS.,,,,,,,,,
,,,,,,,,,
THE AIRMAN CONTACTED TOWER (LC) AND ANNOUNCED HE WAS HOLDING SHORT RWY 22R. (NO REQUEST FOR TOUCH AND GOS). LC GAVE TAKE OFF CLEARANCE AND THE AIRMAN REPEATED THE CLEARANCE.,,,,,,,,,
,,,,,,,,,
THE NEXT RADIO TRANSMISSION INVOLVED LC STATING THAT OXFORD 641 WAS CLEARED TO LAND AND THE AIRMAN REPEATED. AT NO TIME DID THE AIRMAN CLARIFY THAT HE WANTED TOUCH AND GO OPERATIONS.,,,,,,,,,
,,,,,,,,,
"THE AIRMAN LANDED APPROXIMATELY 1,200' PAST THE THRESHOLD, BUT WAS STILL UNSURE IF HE SHOULD CONTINUE WITH A TOUCH & GO. THE AIRMAN STATED THAT HE WAS WAITING FOR LC TO STATE SPECIFICALLY WHAT HE WAS TO DO. APPROXIMATELY 1,900' HE ADDED POWER TO TAKE OFF AGAIN AND STATED THAT SINCE THE SUN WAS IN HIS EYES HE COULD NOT SEE THE END OF THE RUNWAY.",,,,,,,,,
,,,,,,,,,
"WITH THE LC THINKING THE AIRMAN WANTED FULL STOP / TAXI BACK OPERATIONS, SHE INSTRUCTED THE AIRMAN TO TURN RIGHT AT TAXIWAY E1, TAXI TO RWY 22R. THIS INSTRUCTION WAS GIVEN WHEN APPROXIMATELY 200' REMAINED. THE E1 TAXIWAY IS ESSENTIALLY AT THE END OF THE RUNWAY AND THEREFORE, THE FINAL OPPORTUNITY TO SLOW THE AIRCRAFT FOR SAFE TAXI OPERATIONS. ",,,,,,,,,
,,,,,,,,,
"THE AIRMAN STATED HE WAS NOT SURE IF HE SHOULD CONTINUE WITH HIS TAKE OFF SINCE HE WAS CLOSE TO TAKE OFF SPEED, SO HE REMOVED HIS FEET FROM THE BRAKES, THEN DECIDED TO EXIT THE RUNWAY AT E1.",,,,,,,,,
,,,,,,,,,
"THE AIRMAN ALLOWED THE AIRCRAFT TO DEPART THE END OF THE RUNWAY AT CLOSE TO 40 KTS GROUND SPEED. THE AIRCRAFT THEN FELL OFF A RETAINING WALL AND THE BOTTOM SIDE OF THE FUSELAGE IMPACTED THE RETAINING WALL RESULTING IN CRACKS AND DAMAGE TO THE FUSELAGE, GEAR, FLAPS, AILERONS. THE PROP AND FLYWHEEL SEPARATED FROM THE AIRCRAFT.",,,,,,,,,
,,,,,,,,,
"THE LC CALLED THE AIRMAN TWICE TO DETERMINE IF THE AIRMAN NEEDED ASSISTANCE. EVENTUALLY, THE AIRMAN RESPONDED WITH A REQUEST FOR ASSISTANCE.",,,,,,,,,
,,,,,,,,,
"ONLY TWO RADIO TRANSMISSIONS WERE MADE PRIOR TO THE AIRMAN ALLOWING THE AIRCRAFT TO RUN OFF THE END OF THE RUNWAY. NEITHER TIME DID THE AIRMAN REQUEST TOUCH & GO LANDINGS, NOR DID THE AIRMAN ATTEMPT TO CLARIFY HIS INTENT WAS NOT TO CONDUCT FULL STOP / TAXI BACK OPERATIONS.",,,,,,,,,
20190927018319A,PILOT INDICATED THAT HE MOVED THE POWER LEVER TO RESET TORQUE. ENGINE POWER FELL TO IDLE. ATTEMPTED LANDING IN A PASTURE.,,,,,,,,
20190927018329I,"ON FRIDAY, SEPT. 27TH, 2019 AT APPROXIMATELY NOON LOCAL TIME, ^PRIVACY DATA OMITTED^ TOUCHED DOWN IN HIS MAULE MX7, N599ZZ, AT WEST GEORGIA REGIONAL AIRPORT, KCTJ. IT WAS A SUNNY CLEAR DAY WITH LITTLE TO NO WIND. ON TOUCHDOWN ONE MAIN TIRE TOUCHED THE RUNWAY SLIGHTLY BEFORE THE OTHER ONE. THE AIRCRAFT BOUNCED FROM SIDE TO SIDE. THE AIRCRAFT WAS STILL STRAIGHT AND IN THE MIDDLE OF THE RUNWAY WHEN ^PRIVACY DATA OMITTED^ PULLED BACK ON THE THROTTLE. THE BOUNCING BECAME WORSE AND THE TAIL OF THE AIRCRAFT CAME AROUND AND THE AIRCRAFT SLID SIDEWAYS AND CAME TO REST ON THE GRASS ADJACENT TO THE RUNWAY. THERE WERE NO INJURIES AND DAMAGE TO THE AIRCRAFT INCLUDED THE LEFT LANDING GEAR DEPARTING THE AIRCRAFT.",,,,,,,,
20190927018339I,"PILOT MADE AN APPROACH TO LAND ON RUNWAY 31 AT RST THE PILOT REQUESTED AN OPTION FOR A TOUCH-N-GO WHICH WAS GRANTED BY TOWER, THE PILOT PROCEEDED WITH THE LANDING, HEARD A NON-TYPICAL NOISE, ADDED POWER, HEARD A SECOND NON-TYPICAL NOISE, PROCEEDED TO TAKE-OFF. PILOT REPORTED HE THOUGHT HE HAD A GEAR PROBLEM. PILOT MADE SEVERAL PASSES BY THE TOWER TO ENSURE THE GEAR WERE DOWN. PILOT LANDED WITHOUT FURTHER INCIDENT.",,,,,,,,
20190927018589I,"ON 27 SEPTEMBER 2019, AT APPROXIMATELY 2015 MDT, A CESSNA CE210A, N467DH,",,,,,,,,
"^PRIVACY DATA OMITTED^ LANDED GEAR UP WHILE LANDING  ON RWY22 AT THE TAOS, NM REGIONAL AIRPORT, KSKX, AFTER THE PILOT FORGOT TO LOWER THE LANDING GEAR. VISUAL METEOROLOGICAL CONDITIONS PREVAILED AT THE TIME, AND NO FLIGHT PLAN WAS FILED. THE AIRCRAFT SUSTAINED MINOR DAMAGE, AND THE PRIVATE PILOT AND SINGLE PASSENGER WERE NOT INJURED.",,,,,,,,,
"THE FLIGHT ORIGINATED AT THE ALBUQUERQUE, NM  INTERNATIONAL SUNPORT AIRPORT, KABQ, AT APPROXIMATELY 1930 MDT.",,,,,,,,,
20190927018659I,OVERFLEW AIRPORT TO OBSERVE WINDSOCK. WIND WAS DIRECT HEADWIND FOR RUNWAY 31. DESCENDED TO TPA ON LEFT DOWNWIND. LANDED WITH FULL FLAPS 3 POINT LANDING. WIND SHIFTED 90 DEGREES COMING FROM LEFT SIDE OF RUNWAY WITH GUST. COLD AIR FRONT MOVED ONTO AIRPORT. AIRPLANE BEGAN TO WEATHER VANE INTO THE WIND AND OFF RUNWAY. APPLIED BOTH RUDDER AND POWER TO PUT THE AIRPLANE BACK OVER RUNWAY. AIRPLANE BRIEFLY LIFTED BACK INTO THE AIR DURING ATTEMPT TO REALIGN WITH RUNWAY AND TOUCHED DOWN WITH A SIDE LOAD ON THE LEFT LANDING GEAR. LEFT LANDING GEAR COLLAPSED AND AIRPLANE CAME TO A STOP IN THE GRASS NEXT TO THE RUNWAY. LEFT WINGTIP AND PROP CONTACTED THE GROUND. ,,,,,,,,
REPORTED EVENT TO NTSB.,,,,,,,,,
20190927020079A,"ON TOUCHDOWN TO RUNWAY 18, THE AIRPLANE BALLOONED DURING THE LANDING.  WHEN IT CAME BACK DOWN ONTO THE RUNWAY, THE AIRPLANE WAS NOT ALIGNED WITH THE CENTERLINE, RESULTING IN A SLOW SPEED GROUND LOOP.  THE AIRCRAFT SUBSEQUENTLY SWERVED OFF THE LEFT SIDE OF THE RUNWAY AND CAME TO REST INTO A DRAINAGE DITCH.  THE RIGHT MAIN LANDING GEAR COLLAPSED CAUSING SUBSTANTIAL DAMAGE TO THE RIGHT WING AND AILERON.",,,,,,,,
20190927023849A,"ON SEPTEMBER 27, 2019, AT 1948 PACIFIC DAYLIGHT TIME, A PIPER PA-28-236 AIRPLANE, N8353T, WAS DESTROYED WHEN IT IMPACTED TERRAIN FOLLOWING A COMPLETE LOSS OF ENGINE POWER NEAR MODESTO, CALIFORNIA. THE AIRCRAFT WAS ENROUTE FROM TRUCKEE-TAHOE AIRPORT, TRUCKEE, CALIFORNIA WITH THE INTENDED DESTINATION OF SAN MARTIN AIRPORT (E16), SAN MARTIN, CALIFORNIA.  ABOUT 20 MINUTES PRIOR TO LANDING AT APPROXIMATELY 5500 FT, THE PILOT REPORTED THAT HE HEARD A SOUND IN THE ENGINE COMPARTMENT FOLLOWED BY A MOMENTARILY ENGINE RPM DROP. IMMEDIATELY AFTER THE ENGINE ROUGHNESS THE PILOT SWITCHED FUEL TANKS, TURNED ON THE FUEL PUMP AND CARBURETOR HEAT, HOWEVER SHORTLY AFTER DOING SO, HE EXPERIENCED A TOTAL ENGINE FAILURE. THE PILOT NOTIFIED NORTHERN CALIFORNIA AIR TRAFFIC CONTROL (NORTHCAL) OF THE ENGINE FAILURE AND WAS OFFERED TO VECTOR HIM TO MODESTO CITY-COUNTY AIRPORT-HARRY SHAM FIELD (KMOD) BUT THE PILOT REALIZED HE WOULD NOT MAKE THE AIRPORT AND ELECTED TO LAND ON HIGHWAY 99. TO AVOID A COLLISION WITH VEHICLES, HE TRIED TO LAND TO THE RIGHT OF THE HIGHWAY BUT DURING THE LANDING SEQUENCE, THE RIGHT WING CONTACTED THE LIGHT POLE AND SEPARATED FROM THE FUSELAGE. THE AIRPLANE CAME TO REST INVERTED AND THE POST-CRASH FIRE ENSUED SHORTLY AFTER.  THERE WERE NO REPORTED INJURIES TO THE SOLE OCCUPANT OF THE AIRCRAFT.",,,,,,,,
20190927024099A,"^PRIVACY DATA OMITTED^ STATED THAT AFTER LANDING ON THE GRAVEL ROAD ON HIS PROPERTY, HE SLOWED THE AIRPLANE ABRUPTLY AND APPLIED TOO MUCH RIGHT BRAKE. THE AIRPLANE VEERED TO THE RIGHT INTO THE WEEDS AND A SMALL DITCH. HE THEN APPLIED MORE POWER TO FORCE THE AIRPLANE OUT OF THE WEEDS AND BACK ONTO THE ROAD, BUT THE AIRPLANE NOSED OVER.",,,,,,,,
HE STATED THERE WERE NO PRE-IMPACT MECHANICAL FAILURES OR MALFUNCTIONS WITH THE AIRFRAME OR ENGINE THAT WOULD HAVE PRECLUDED NORMAL OPERATION.,,,,,,,,,
20190928013749A,PILOT STATED; HE WAS PERFORMING A TOUCH AND GO.  HE WAS MAKING CORRECTIONS AND LANDED THE AIRCRAFT ABOUT 200 FEET PAST THE NUMBERS.  HE ADVANCED THE THROTTLE AND THEN WENT TO RAISE THE FLAPS.  THE AIRCRAFT WENT OFF THE RUNWAY TO THE LEFT AND CROSSED THE TAXIWAY AND WENT INTO A DITCH.,,,,,,,,
20190928018359A,"ON SEPTEMBER 28, 2019, AT 1909 EASTERN DAYLIGHT TIME, AN UNREGISTERED AMATEUR-BUILT EXPERIMENTAL LIGHT-SPORT SOLO WINGS WINDLASS WEIGHT-SHIFT CONTROL AIRCRAFT WAS SUBSTANTIALLY DAMAGED WHEN IT COLLIDED WITH TERRAIN SHORTLY AFTER TAKEOFF FROM PRATERMILL FLIGHT PARK (GA72), DALTON, GEORGIA. FIRST REPORTED AS NON-REGISTERED ULTRALIGHT/HANG GLIDER WITH MOTOR CRASHED AT PRATERMILL FLIGHT PARK DURING CLIMB OUT AFTER TAKEOFF.",,,,,,,,
20190928018369I,"ON SEPTEMBER 28, 2019 AT APPROX. 1700 LCL N321DB, BE-36A, HAD A GEAR UP INCIDENT AT THE SALINE COUNTY AIRPORT, KSUZ WHILE WAS RETURNING FROM PINE BLUFF, AR ON A TRAINING FLIGHT. N321DB ENTERED THE TRAFFIC PATTERN AT SALINE COUNTY AND PERFORMED SEVERAL TOUCH AND GO LANDINGS. DURING THE TOUCH AND GO'S, ANOTHER AIRCRAFT, N4315Q, DEPARTED SALINE COUNTY AND REMAINED IN THE PATTERN WITH N321DB. ON THE INCIDENT TRAFFIC PATTERN N321DB CONDUCTED A GO-AROUND DUE TO N4315Q ENTERING RUNWAY 20. DURING THE GO AROUND THE CFI SIDE STEPPED THE AIRCRAFT AND DEPARTED THE PATTERN TO FALL IN BEHIND N4315Q. BOTH PILOTS STATED THAT THEY BECAME DISTRACTED BY THE OTHER AIRCRAFT AND FAILED TO PERFORM ANY CHECKLIST. THEY REENTERED THE PATTERN BEHIND N4315Q AND PROCEEDED TO LAND. DUE TO THE DISTRACTION OF THE PILOTS, THE LANDING CHECKLIST WAS LEFT UNCOMPLETED. NEITHER PILOT CHECKED THE POSITION OF THE GEAR ON DOWNWIND, BASE OR FINAL FOR RUNWAY 20. BOTH PILOTS STATED THEY DID NOT REALIZE THE GEAR WAS STILL IN THE UP POSITION UNTIL THEY HEARD METAL SCRAPING THE RUNWAY. AT THAT POINT THE CFI ASSUMED CONTROLS AND COMMITTED TO LANDING. THE AIRCRAFT SLID A SHORT DISTANCE ON THE NOSE AND REAR PASSENGER STEP AND COME TO REST ON RUNWAY 20.",,,,,,,,
20190928018372I,"ON SEPTEMBER 28, 2019, AT APPROXIMATELY 12.20 LOCAL TIME, A CORPORATE CAPTAIN AND COPILOT TAXIED N860CR, A CESSNA 560 JET, ON TAXIWAY ALPHA FOR TAKEOFF ON RUNWAY 11 AT THE GAINESVILLE AIRPORT, FLORIDA (GNV). WHILE TAXIING, THE RIGHT WINGTIP OF THE JET CLIPPED THE LEFT WINGTIP OF N175AS, A PIPER PA-28-140, LOCATED IN THE RUN-UP AREA ADJACENT TO TAXIWAY ALPHA. BOTH AIRCRAFT RETURNED TO THE RAMP. THE CAPTAIN AND COPILOT OF THE TAXIING JET AND THE STUDENT PILOT IN THE PA-28 DID NOT EXPERIENCE ANY INJURIES. DURING A SUBSEQUENT INSPECTION, THE CESSNA 560 WAS FOUND WITH SCRATCH MARKS ON THE BOTTOM OF THE RIGHT WING AND THE PIPER PA-28 HAD MINOR DAMAGE ON THE LEFT WING TIP.",,,,,,,,
"VMC CONDITIONS WERE REPORTED AT THE TIME OF THE INCIDENT, 9 SM VISIBILITY AND CALM WINDS.",,,,,,,,,
20190928018572I,"ON SEPTEMBER 28, 2019, AT APPROXIMATELY 12.20 LOCAL TIME, A CORPORATE PILOT IN COMMAND AND COPILOT TAXIED N860CR, A CESSNA 560 JET, ON TAXIWAY ALPHA FOR TAKEOFF ON RUNWAY 11 AT THE GAINESVILLE AIRPORT, FLORIDA (GNV). THE RIGHT WINGTIP OF THE JET CLIPPED THE LEFT WINGTIP OF N175AS, A PIPER PA-28-140, LOCATED IN THE RUN-UP AREA ADJACENT TO TAXIWAY ALPHA. BOTH AIRCRAFT RETURNED TO THE RAMP. THE CAPTAIN AND COPILOT OF THE TAXIING JET AND THE STUDENT PILOT IN THE PA-28 DID NOT EXPERIENCE ANY INJURIES. DURING A SUBSEQUENT INSPECTION, THE CESSNA 560 WAS FOUND WITH SCRATCH MARKS ON THE BOTTOM OF THE RIGHT WING AND THE PIPER PA-28 HAD MINOR DAMAGE ON THE LEFT WING TIP.",,,,,,,,
"VMC CONDITIONS WERE REPORTED AT THE TIME OF THE INCIDENT, 9 SM VISIBILITY AND CALM WINDS.",,,,,,,,,
"THE CAPTAIN OF THE TAXIING JET STATED THAT THE CHECKLIST ITEMS WERE COMPLETED WHILE TAXIING ALONG TAXIWAY ALPHA AND THE COPILOT WAS LOOKING DOWN MOMENTARILY TO CHANGE RADIO FREQUENCIES BEFORE APPROACHING THE PIPER LOCATED IN THE RUN-UP AREA. WHEN THE COPILOT LOOKED UP, HE NOTICED HOW CLOSE THE RIGHT WING WAS TO THE PIPER. HE IMMEDIATELY ALERTED THE CAPTAIN, WHO WAS ABLE TO VEER OFF TO THE LEFT, BUT THE WINGTIPS STILL MADE CONTACT. THE STUDENT PILOT STATED THAT HIS WING MIGHT HAVE BEEN A COUPLE OF FEET OVER THE RUN-UP AREA INTO THE TAXIWAY.  WHEN HE FELT THE IMPACT, HE REPORTED IT TO ATC AND REQUESTED TO TAXI BACK TO THE RAMP. THE JET FOLLOWED SHORTLY AFTER.",,,,,,,,,
20190928022409A,"PILOT WHO WAS SERIOUSLY INJURED DOES NOT REMEMBER THE EVENTS OF THE ACCIDENT. A WITNESS STATED THAT HE OBSERVED THE HELICOPTER MANEUVERING NEAR THE AREA OF THE WINDSOCK BUT COULD NOT TELL FROM THE DISTANCE HE WAS AT IF THE HELICOPTER WAS MANEUVERING OVER THE PAVED RUNWAY OR ON THE GRASS. HE OBSERVED THE HELICOPTER WILDLY ROTATE LEFT AND RIGHT AND SPIN COMPLETELY AROUND EITHER ONE OR TWO FULL REVOLUTIONS, HE THEN OBSERVED THE HELICOPTER CLIMB AND THEN STATED THAT THE TAIL WENT ALMOST VERTICAL AND THE HELICOPTER CRASHED TO THE GROUND.",,,,,,,,
20190928023119A,"PILOT IN COMMAND AND ONLY OCCUPANT OF THIS AEROBATIC BI-WING AIRPLANE STATED THAT HE HAD COMPLETED AEROBATIC FLIGHT IN THE AEROBATIC BOX ADJACENT TO RUNWAY 1/19 AT KMVL. PILOT STATED HE ENTERED THE TRAFFIC PATTERN AND LANDED ON RUNWAY 1 WITH CALM WINDS. PILOT STATED THAT LANDING WAS NORMAL AT ABOUT THE 1500 FEET OF ROLL OUT THE AIRCRAFT STARTED DRIFTING TO THE RIGHT, PILOT CORRECTED WITH LEFT RUDDER AND BRAKE. PILOT STATED THE AIRCRAFT TIPPED TO THE LEFT SCRAPING THE LEFT LOWER WING TIP AND CONTINUED OFF THE RUNWAY. DUE TO HARD BRAKING TO AVOID A THREE (3) FOOT DRAINAGE DITCH PARALLEL TO THE RUNWAY, THE AIRCRAFT TIPPED UP ONTO ITS NOSE AND THE PROP STOPPED AFTER CONTACT WITH THE GRASS SURFACE. THERE WERE NO INJURIES.",,,,,,,,
20190928023159I,OIL LEAK FROM ACM CAUSED SMOKE/FUMES.  EVACUATION INITIATED ON GROUND.,,,,,,,,
20190928023759A,"WHILE PERFORMING AIR TOUR RIDES AT THE BLOOMSBURG PA FAIRGROUNDS, THE HELICOPTER BEGUN TO SPIN ON APPROACH TO THE HELIPAD. THE HELICOPTER SPUN CLOCKWISE TWO AND A HALF TIMES BEFORE IMPACTING THE GROUND AND NUMEROUS PARKED VEHICLES. THE HELICOPTER CAME TO REST ON THE LEFT SIDE ON A HEADING OF 143 DEGREES MAGNETIC. THE HELICOPTER WAS SUBSTANTIALLY DAMAGED. FLIGHT CONTROL CONTINUITY WAS ESTABLISHED TO THE TAIL ROTOR. NO PRE ACCIDENT MECHANICAL ISSUES WERE NOTED. NIGHT VISUAL METEROLOGICAL CONDITIONS PREVAILED AT THE TIME OF THE ACCIDENT.",,,,,,,,
20190929013759I,"ON 9/29/2019, A 1967 CESSNA 210G, N5850F, S/N 21058850, TAXIED OFF THE END OF RUNWAY 6 AT OCEAN COUNTY AIRPORT (MJX) JUST PRIOR TO DEPARTURE.  THE RIGHT MAIN GEAR DEPARTED THE RUNWAY DURING THE TURN FROM THE TAXIWAY TO THE RUNWAY, AND THEN THE AIRCRAFT NOSE WHEEL DEPARTED THE RUNWAY AND THE PROPELLER STRUCK A RUNWAY LIGHT, DAMAGING THE PROPELLER, INCLUDING THE PROPELLER BLADES.  THE AIRCRAFT NOSE WHEEL BURIED IN THE DIRT OFF THE RUNWAY, AND THE RIGHT WING CAME TO REST ON THE DIRT.  NO OTHER DAMAGE WAS NOTED EXCEPT THE PROPELLER.  THE PILOT EVACUATED THE AIRCRAFT WITHOUT ANY INJURIES.",,,,,,,,
20190929018389A,"AIRCRAFT DEPARTED DELAND AIRPORT ON A LOCAL FLIGHT WITH ONE PILOT AND TWO PASSENGERS. ABOUT 25 MINUTES AFTER TAKEOFF AIRCRAFT CRASHED INTO THE WOODS.DURING THE FLIGHT, THE AIRCRAFT PERFORMED A SERIES OF TURNS AND DESCENTS BEFORE CRASHING INTO THE WOODS AND CAUGHT FIRE.",,,,,,,,
20190929023469I,UNITED AIRLINES FLIGHT 293 FROM DEN TO MCO RETURNED TO AIRPORT DUE TO MECHANICAL ISSUE WITH THE NUMBER ONE ENGINE. THE FLIGHT LANDED SAFELY AND TAXIED TO THE GATE WHERE CUSTOMERS DEPLANED NORMALLY.,,,,,,,,
20190930014419I,"WHEN: SEPTEMBER 30, 2019",,,,,,,,
,,,,,,,,,
WHERE: AIRCRAFT N7111N HAD A PLANNED  FLIGHT FROM KCRG TO KCRG.,,,,,,,,,
,,,,,,,,,
"WHAT: PART 141 OPERATION,  ATP FLIGHT SCHOOL.",,,,,,,,,
,,,,,,,,,
"N7111N, C172,  STRUCK A BIRD ON THE TAIL 7 MILES SOUTHEAST OF THE AIRPORT AND RETURNED TO LAND WITHOUT INCIDENT. ",,,,,,,,,
,,,,,,,,,
DAMAGE: MINOR,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
NO INJURIES REPORTED,,,,,,,,,
,,,,,,,,,
NO EXAMINATION OF THE AIRCRAFT.,,,,,,,,,
,,,,,,,,,
ONLY PICTURES,,,,,,,,,
20190930018399I,WHEN COMING TO LAND AT NORTH MYRTLE BEACH (KCRE) THE PILOT WENT TO PUT THE LANDING GEAR DOWN AND THE REAR GEAR WENT DOWN AND THE NOSE GEAR DID NOT EXTEND.  THE PILOT CIRCLED AROUND THE AIRPORT AND CYCLED THE GEAR AND THE NOSE GEAR FAILED TO EXTEND. THE PILOT THEN PRECEDED TO CONDUCT THE EMERGENCY GEAR EXTENSION CHECK AND THE NOSE GEAR CONTINUED TO FAIL. AFTER EXHAUSTING ALL POSSIBLE OPTIONS THE PILOT HAD TO LAND THE AIRCRAFT.,,,,,,,,
20190930018409I,THE AIRMAN STATED THAT A DOOR HAD POPPED OPEN INFLIGHT.  THIS CAUSED THE CABIN TO BE VERY NOISY AND THE AIRMAN WAS UNABLE TO HEAR ATC TRANSMISSIONS.  THE AIRMAN WAS BEING VECTORED FOR THE ILS AT LAURINBURG-MAXTON AIRPORT (KMEB) WHILE OPERATING ON AN IFR (INSTRUMENT FLIGHT RULES) FLIGHT PLAN.  ON THE DESCENT THE AIRMAN BROKE OUT INTO VFR CONDITIONS AT 1900 FEET AND PROCEEDED VISUALLY TO KMEB AND LANDED SAFELY.  THE AIRMAN FORGOT TO NOTIFY ATC TO CANCEL IFR WHEN HE BROKE OUT INTO VISUAL CONDITIONS.,,,,,,,,
20190930024129I,"ON 9/29/2019 N607FJ A BEECH CRAFT KING AIR B200 OPERATED BY ^PRIVACY DATA OMITTED^ WAS ON A REPOSITION LEG OF THE FLIGHT INTO JUNEAU WITH THE PILOT AND TWO MEDICS ON BOARD. ON APPROACH IN TO JUNEAU VFR CONDITIONS END OF CIVIL TWILIGHT, AND APPROXIMATELY 150-100 FEET AGL STRUCK A MEDIUM SIZE BIRD ON THE PILOTS SIDE OF THE WINDSCREEN. ^PRIVACY DATA OMITTED^ MAINTENANCE DECIDED TO REPLACE THE PILOT SIDE WINDSCREEN. PILOT FILED BIRD STRIKE REPORT TO THE FAA ON 10/10/2019 REPORT #191816.",,,,,,,,
,,,,,,,,,
,,,,,,,,,
10/17/2019 RECEIVED AIRCRAFT LOG BOOK ENTRY OF WHAT THE MAINTENANCE DID TO AIRCRAFT. THEY REMOVED PILOT WINDSCREEN AND REPLACED WITH OVER HAULED WIND SCREEN.,,,,,,,,,
20191001010219I,"THE PILOT DEPARTED KSUS EN-ROUTE TO 1H0. AFTER DEPARTURE THE PILOT REQUESTED TO RETURN TO KSUS DUE TO ROUGH AND CHOPPY AIR. JUST AFTER TOUCHDOWN ON RUNWAY 26L AT KSUS, THE AIRCRAFT GROUND LOOPED TO THE LEFT, RESULTING IN A RIGHT WING SCRAPE. THE PILOT'S WEATHER BRIEFING PRIOR TO DEPARTURE WAS THE KSUS ATIS.",,,,,,,,
20191001013769A,PILOT DEPARTED NEW LONDON AIRPORT (W90) IN ROUTE TO NORTH MYRTLE BEACH AIRPORT (KCRE). HE PLANNED TO USE 9.7 GALLONS OF GAS. PRIOR TO ARRIVING AT KCRE ALL 12 GALLONS OF FUEL ON BOARD WERE EXHAUSTED. PILOT LANDED IN FIELD AND DID NOT STOP AIRCRAFT PRIOR CONTACTING TREES AT THE END OF FIELD. SUBSTANTIAL DAMAGE TO BOTH WINGS AND THE LANDING GEAR WERE THE RESULT. PILOT SUFFERED ONE SMALL SCRATCH TO FINGER THAT WAS BANDAGED AT THE SCENE.,,,,,,,,
" UPON ARRIVAL AT THE SCENE THE NEXT MORNING I AND ONE OTHER INSPECTOR INSPECTED THE AIRCRAFT. THE LEFT WING HAD SUFFERED SUBSTANTIAL DAMAGE FROM CONTACT WITH TREES, TO INCLUDE THE SPAR BEING BROKEN. THE LEFT WING FUEL TANK APPEARED TO NOT BE IN A USEABLE CONDITION. THE SUPPLY LINE HAD SUBSTANTIAL CORROSION EVIDENT AND THE DRAIN VALVE HAD BEEN REMOVED AND THE OPENING HAD BEEN COVERED WITH GREEN PAINTERS TAPE. THE RIGHT WING TANK APPEARED TO HAVE NOT BEEN USED AND HAD SOME TYPE OF PRESERVATIVE COATING THE INSIDE. WHEN ASKED ABOUT THE WING TANKS THE PILOT DID NOT REALIZE THEY WERE INSTALLED. THE NOSE TANK WAS THE ONLY FUEL TANK UTILIZED FOR THE FLIGHT ACCORDING TO THE PILOT. THE NOSE TANK SHOWED EVIDENCE OF FUEL USAGE AND THE FLOAT CORK SHOWED EVIDENCE OF RECENT FUEL USAGE, BUT NO FUEL REMAINED IN THE TANK. THERE WAS NO EVIDENCE OF FUEL SPILLAGE ON THE GROUND, AIRFRAME OR WING STRUCTURE. THERE WAS NO POST CRASH FIRE.",,,,,,,,,
20191001019709I,"ON OCTOBER 01, 2019 A RAYTHEON BEECH 400A ABORTED A TAKEOFF RUN FOLLOWING THE LOSS OF TIRE PRESSURE AND SUBSEQUENT BRAKE/TIRE FIRE AT THE ELKHART MUNICIPAL AIRPORT (EKM), ELKHART, INDIANA. THE AIRCRAFT SUSTAINED MINOR DAMAGE TO THE RIGHT MAIN LANDING GEAR AND WHEEL WELL. THE FLIGHT CREW EGRESSED FROM THE AIRCRAFT WITHOUT INJURY. ",,,,,,,,
"ACCORDING TO THE FLIGHT CREW, THEY HAD BEEN DOING TAKEOFFS AND FULL STOP LANDINGS TO PUT TIME ON THE ENGINES FOR AN UPCOMING 20 HOUR SOAP SAMPLE. ON THE THIRD TAKEOFF THE CREW NOTICED THE MAIN GEAR TIRES GOING FLAT SO THEY ELECTED TO ABORT THE TAKEOFF RUN AND ROLL ONTO AN ADJOINING TAXIWAY. ONCE THE AIRCRAFT CAME TO A STOP THE RIGHT BRAKE HAD OVERHEATED CAUSING THE TIRE TO CATCH FIRE. THE CREW WAS ABLE TO EXTINGUISH THE FIRE AS LOCAL FIRE/RESCUE PERSONNEL ARRIVED ON SCENE. GROUND CREW REPLACED BOTH MAIN GEAR TIRES AND WHEELS THEN TOWED THE AIRCRAFT TO A SECURE HANGAR.",,,,,,,,,
