c5,c1,c2,c3,c4,c6,c7,c8,c9,c10,c75,c132,c134,c136,c138,c139,c140,c141,c144,c145,c147,c149,c151,c152,c153,c155,c157,c160,c162,c203,c204,c214,c233,c234,c790,c22,c23,c24,c25,c26,c27,c30,c31,c32,c33,c34,c35,c36,c37,c38,c39,c11,c12,c13,c14,c15,c16,c17,c18,c19,c20,c21,c102,c104,c106,c108,c110,c112,c113,c114,c115,c117,c118,c143,c240,c241,c242,c243,c61,c62,c63,c64,c65,c66,c67,c68,c69,c70,c71,c72,c73,c74,c76,c250,c205,c206,c207,c208,c210,c41,c43,c45,c47,c49,c50,c52,c53,c54,c55,c56,c57,c58,c59,c119,c120,c121,c122,c126,c127,c128,c129,c130,c78,c80,c82,c84,c86,c88,c90,c92,c94,c96,c98,c100,c111,c123,c124,c125,c184,c192,c244,c40,c44,c46,c48,c51,c77,c79,c81,c83,c85,c87,c89,c91,c93,c95,c97,c99,c101,c103,c105,c107,c109,c131,c133,c135,c137,c146,c148,c150,c154,c156,c158,c161,c163,c183,c191,c229,c230,end_of_record,
20190708016289A,A,137,   , ,2019,7,8,20190708,930,9, , , , , , ,   ,    , , , ,,    , , ,SD,  ,  ,222848,1628, , , , ,41830,CONTIN,TOMCAT MK6C ,      ,        ,  ,REST,,* ,  ,LYCOMI,VO-435 SERIES,      ,        ,  ,     ,CE,CE17,KY,FRANKLIN       ,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,20200226,,,20200224,20200226,1,N,,,,,,50,,116,2165,,,,"AIRCRAFT LANDED IN A CORN FIELD TAIL DOWN, TAIL ROTOR DEPARTED AIRCRAFT AND AIRCRAFT LOST DIRECTIONAL CONTROL.  AIR","TRI STATE HELICOPTERS, INC.   ",  ,    ,           ,  ,    ,      ,                    ,  , , , ,  , , , ,  ,MN,D, ,   , , , , , , ,PRIVATE PILOT       ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,Maneuver            ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                              ,                              ,                              ,                              ,                              ,Skids                         ,                    ,                    ,                    ,                    ,19840614,, ,
20190801016279A,A,91,   , ,2019,8,1,20190801,2000,9, , , , , , ,   ,    , , , ,,    , , ,OT,  ,  ,222847,1627, , , , ,6533Q,CAMERO,A-210       ,      ,        ,  ,STRD,,* ,  ,NONE  ,NONE         ,N/A   ,        ,  ,     ,EA,EA23,NY,HUME           ,,,,,,,,,,,,,,,,,,,,,,,,9,8,0,1,1,0,0,0,0,0,0,0,0,0,0,1,20200226,,,20200124,20200226,3,N,,,,,,1000,,11,2691,,,,"ON AUGUST 1, 2019 AT APPROXIMATELY 2000 EDT, AIRCRAFT N6533Q, A CAMERON BALLOON MODEL A-210, SERIAL # 6617, ENCOUNT",N/A                           ,  ,    ,           ,  ,    ,      ,                    ,  , , , ,  , , , ,  ,LT,N, ,   , , , , , , ,COMMERCIAL PILOT    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,Landing: Touchdown  ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                              ,                              ,                              ,                              ,                              ,"Other, Specify                ",                    ,                    ,                    ,                    ,19520711,, ,
20190227016299A,A,91,   , ,2019,2,27,20190227,1638,9, , , , , , ,   ,    , , , ,,    , , ,CV,  ,  ,222849,1629, , , , ,1778,TIMOTH,SPACE WALKER,      ,        ,  ,EXPT,,* ,  ,      ,             ,      ,        ,  ,     ,SW,SW17,TX,CASTROVILLE    ,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,20200226,,,,20200226,3,N,,,,,,15,,25,22400,,,,"ON FEBRUARY 27, 2019, AT 1638 CDT, A TIMOTHY BARROW, SPACE WALKER II EXPERIMENTAL AMATEUR BUILT AIRCRAFT BEARING RE",N/A                           ,  ,    ,           ,  ,    ,      ,                    ,  , , , ,  , , , ,  ,OT,S, ,   , , , , , , ,COMMERCIAL PILOT    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,"Other, Specify      ",                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                              ,                              ,                              ,                              ,                              ,Wheeled-Conventional          ,                    ,                    ,                    ,                    ,19371130,, ,
20190817016259A,A,91,   , ,2019,8,17,20190817,1645,9, , , , , , ,   ,1L72,1,L,7,2,3O  , , ,TR,  ,  ,222845,1625, , , , ,303TL,CESSNA,T303        ,      ,        ,  ,STRD,,* ,  ,CONT M,TSIO-520 SER ,UNKNOW,        ,  ,     ,EA,EA25,NY,LAGRANGEVILLE  ,SKY ACRES                     ,17,44N ,,,41 41N,73 43W,,,,,,,,,,DRY,,44N ,,,,,3,2,0,2,1,1,0,0,0,0,0,0,0,0,1,2,20200226,,,20200211,20200226,1,N,,,,,,,,,,,,,AIRCRAFT DEPARTED ORANGE COUNTY AIRPORT HEADING TO REPUBLIC AIRPORT WITH A FUEL STOP IN SKY ACRES. VIDEO FROM SKY A,N/A                           ,  ,    ,           ,  ,    ,      ,                    ,  , , , ,  , , , ,  ,TR,D, ,   , , , , , , ,PRIVATE PILOT       ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,Takeoff: Rotation   ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,UNDER 12501 LBS               ,MONOPLANE-LOW WING            ,POWERED                       ,                              ,                              ,Wheeled-Tricycle              ,                    ,                    ,                    ,                    ,19531015,, ,
20190815016169I,I,91,   , ,2019,8,15,20190815,1730,9, , , , , , ,   ,    , , , ,,    , , ,TR,  ,  ,222832,1616, , , , ,2947E,PIPER ,PA-32-300   ,      ,        ,  ,STRD,,* ,  ,LYCOMI,IO-540 SER   ,      ,        ,  ,     ,SO,SO15,FL,SEBRING        ,SEBRING RGNL                  ,,SEF ,,,27 27N,81 20W,,,,,,,,,,,,SEF ,,,,,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,20200225,,,20200220,20200225,1,N,,,,,,790,,25,1250,,,,AIRCRAFT TOOK OFF FROM SEF LEVELED OUT AND LOST ENGINE POWER.                                                      ,N/A                           ,  ,    ,           ,  ,    ,      ,                    ,  , , , ,  , , , ,  ,CR,N, ,   , , , , , , ,PRIVATE PILOT       ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,Cruise/Level Flight ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                              ,                              ,                              ,                              ,                              ,Wheeled-Tricycle              ,                    ,                    ,                    ,                    ,19741229,, ,
20190813016229I,I,91,   , ,2019,8,13,20190813,1240,9, , , , , , ,   ,1H72,1,H,7,2,3O  , , ,TR,  ,  ,222839,1622, , , , ,5UU  ,CESSNA,560,      ,        ,  ,STRD,5600,* ,  ,P&W CA,JT15D-5D     ,      ,        ,  ,     ,SO,SO09,AL,BIRMINGHAM     ,BIRMINGHAM-SHUTTLESWORTH INTL ,,BHM ,,,33 33N,08645W,,,,,,,,,,,,BHM ,,,,,5,3,0,0,2,0,0,0,0,0,0,0,0,0,0,0,20200225,,,20200219,20200225,9,N,,,,,,,,,12000,,,,"ON AUGUST 13, 2019, THE PILOT OF N5UU DEPARTED FROM BIRMINGHAM, ALABAMA (BHM). DURING THE TAKEOFF THE AIRCRAFT STRU",N/A                           ,  ,    ,           ,  ,    ,      ,                    ,  , , , ,  , , , ,  ,TC,M, ,   , , , , , , ,AIRLINE TRANSPORT   ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,Takeoff: Climb Out  ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,UNDER 12501 LBS               ,MONOPLANE-HIGH WING/PARA WING ,POWERED                       ,                              ,                              ,Wheeled-Tricycle              ,                    ,                    ,                    ,                    ,19560524,19920810, ,
20190809016249A,A,91,   , ,2019,8,9,20190809,1830,9, , , , , , ,   ,1H71,1,H,7,1,3O  , , ,TR,  ,  ,222843,1624, , , , ,8374J,CESSNA,150G        ,      ,        ,  ,STRD,5189,* ,  ,CONT M,0-200 SERIES ,      ,        ,  ,     ,SW,SW15,OK,CORDELL        ,CORDELL AIRPORT               ,,F36 ,,,,,,,,,,,,,,,,F36 ,,,,,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,20200225,,,20200129,20200225,1,N,,,,,,,,,,,,,"ON AUGUST 09, 2019, PILOT WAS OPERATING N8374J, A CESSNA 150G AIRCRAFT, DOING TOUCH AND GO'S ON GRASS STRIP LOCATED",N/A                           ,  ,    ,           ,  ,    ,      ,                    ,  , , , ,  , , , ,  ,OT,D, ,   , , , , , , ,PRIVATE PILOT       ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,"Other, Specify      ",                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,UNDER 12501 LBS               ,MONOPLANE-HIGH WING/PARA WING ,POWERED                       ,                              ,                              ,Wheeled-Tricycle              ,                    ,                    ,                    ,                    ,19900517,, ,
20190810016269I,I,91,   , ,2019,8,10,20190810,1330,9, , , , , , ,   ,1H71,1,H,7,1,3O  , , ,TR,  ,  ,222846,1626, , , , ,6554F,CESSNA,150F        ,      ,        ,  ,STRD,6954,* ,  ,CONT M,0-200 SERIES ,      ,        ,  ,     ,SW,SW09,TX,WALLER         ,,,37XA,,,,,,,,,,,,,,,,37XA,,,,,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,20200226,,,20200130,20200226,3,N,,,,,,,,,,,,,"DURING A FLIGHT FROM F46(ROCKWALL) TO 37X (SKYDIVE HOUSTON), ON APPROACH TO THE AIRPORT AIRCRAFT LOST POWER, PILOT ",N/A                           ,  ,    ,           ,  ,    ,      ,                    ,  , , , ,  , , , ,  ,LA,M, ,   , , , , , , ,COMMERCIAL PILOT    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,Landing: Approach   ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,UNDER 12501 LBS               ,MONOPLANE-HIGH WING/PARA WING ,POWERED                       ,                              ,                              ,Wheeled-Tricycle              ,                    ,                    ,                    ,                    ,19951219,, ,
20190805016239I,I,91,   , ,2019,8,5,20190805,2035,9, , , , , , ,   ,    , , , ,,    , , ,CV,  ,  ,222842,1623, , , , ,2783K,SILVAI,LUSCOMBE 8E ,      ,        ,  ,STRD,5405,* ,  ,CONT M,C85 SERIES   ,      ,        ,  ,     ,SW,SW15,OK,BETHANY        ,,,PWA ,,,,,,,,,,,,,,,,PWA ,,,,,2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,20200225,,,,20200225,1,N,,,,,,128,,8,200,,,,"ON AUGUST 5, 2019, AT APPROXIMATELY 2030 CST, A SILVAIRE LUSCOMBE 8E, N2783K, WAS DEPARTING WILEY POST AIRPORT (PWA",N/A                           ,  ,    ,           ,  ,    ,      ,                    ,  , , , ,  , , , ,  ,TC,M, ,   , , , , , , ,PRIVATE PILOT       ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,Takeoff: Climb Out  ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                              ,                              ,                              ,                              ,                              ,Wheeled-Conventional          ,                    ,                    ,                    ,                    ,19550202,, ,
20190808016429I,I,O  ,   , ,2019,8,8,20190808,1230,9, , , , , , ,   ,1H71,1,H,7,1,3O  , , ,TR,  ,  ,222876,1642, , , , ,48314,DODD  ,BREEZY      ,      ,        ,  ,MULT,,* ,  ,CONT M,0-200 SERIES ,      ,        ,  ,     ,AL,AL03,AK,TALKEETNA      ,,,,,,62 18N,15004W,,,,,,,,,,,,,,,,,2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,20200303,,,20200210,20200303,F1,N,,,,,,,,,,,,,"WENT SIGHT SEEING 8 KNOTS GUST OF WINDS CLIMBED TO 600 FEET HEARD A BANG, AIRCRAFT STARTED TO SHAKE/VIBRATE THEN EN",N/A                           ,  ,    ,           ,  ,    ,      ,                    ,  , , , ,  , , , ,  ,CR,M, ,   , , , , , , ,PRIVATE PILOT FLT IN,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,Cruise/Level Flight ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,UNDER 12501 LBS               ,MONOPLANE-HIGH WING/PARA WING ,POWERED                       ,                              ,                              ,Wheeled-Tricycle              ,                    ,                    ,                    ,                    ,,, ,
20190902016469A,A,91,   , ,2019,9,2,20190902,1205,9, , , , , , ,   ,    , , , ,,    , , ,TR,  ,  ,222881,1646, , , , ,31934,PIPER ,PA-32RT-300 ,      ,        ,  ,STRD,,* ,  ,LYCOMI,IO-540 SER   ,      ,        ,  ,     ,GL,GL09,MI,MACKINAC ISLAND,MACKINAC ISLAND               ,,MCD ,,,,,,,,,,,,,,,,MCD ,,,,,6,5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,20200303,,,,20200303,1,N,,,,,,18,,2,147,,,,"ON SEPTEMBER 2, 2019 AT APPROXIMATELY 12:05 PM EASTERN DAYLIGHT TIME (EDT), N31934, A PA-32RT-300 AIRCRAFT, REGISTE",N/A                           ,  ,    ,           ,  ,    ,      ,                    ,  , , , ,  , , , ,  ,LT,S, ,   , , , , , , ,PRIVATE PILOT       ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,Landing: Touchdown  ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                              ,                              ,                              ,                              ,                              ,Wheeled-Tricycle              ,                    ,                    ,                    ,                    ,19800527,, ,
20190916016449I,I,91,   , ,2019,9,16,20190916,2145,9, , , , , , ,   ,    , , , ,,    , , ,TR,  ,  ,222879,1644, , , , ,431DE,DIAMON,DA 40       ,      ,        ,  ,STRD,1400,* ,  ,LYCOMI,I0360 SER    ,      ,        ,  ,     ,SO,SO13,SC,MOUNT PLEASENT ,MT PLEASANT RGNL-FAISON FIELD ,,LRO ,,,,,,,,,,,,,,,,LRO ,,,,,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,20200303,,,20200218,20200303,F3,N,,,,,,30,,60,6100,,,,"AS WE DISCUSSED YESTERDAY, OUR DIAMOND DA-40 AIRCRAFT (N431DE) STRUCK A COYOTE WHILE TAKING OFF ON RUNWAY 35 AT KLR",N/A                           ,  ,    ,           ,  ,    ,      ,                    ,  , , , ,  , , , ,  ,TR,M, ,   , , , , , , ,COMM PILOT FLIGHT IN,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,Takeoff: Rotation   ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                              ,                              ,                              ,                              ,                              ,Wheeled-Tricycle              ,                    ,                    ,                    ,                    ,19721101,, ,
20190413016879I,I,91,   , ,2019,4,13,20190413,1717,9, , , , , , ,   ,1G71,1,G,7,1,3U  , , ,SD,  ,  ,222932,1687, , , , ,523HB,MD HEL,500N        ,      ,        ,  ,STRD,5987,* ,  ,ROLLS-,250-C20R/2   ,      ,        ,  ,     ,WP,WP05,CA,SANTA ANA      ,JOHN WAYNE                    ,,SNA ,,,,,,,,,,,,,,,,SNA ,,,,,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,20200316,,,20200219,20200316,F3,N,,,,,,,,,,,,,PERFORMING RIGHT HAND ORBITS OVER A LOCATION PIC ^PRIVACY DATA OMITTED^ CAME OUT OF THE ORBIT AND FELT THE RIGHT AN,HUNTINGTON BEACH PD           ,  ,GWBM,           ,  ,    ,      ,                    ,67, , , ,  , , , ,  ,MN,N, ,   , , , , , , ,COMM PILOT FLIGHT IN,                    ,                    ,                    ,                    ,6700,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,Maneuver            ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,UNDER 12501 LBS               ,ROTARY WING-HELI/GYROCOPTER   ,POWERED                       ,                              ,                              ,Skids                         ,                    ,                    ,                    ,                    ,,, ,
20190513016761A,A,135,   , ,2019,5,13,20190513,1221,A, , , , , , ,   ,    , , , ,,    , , ,FL,  ,  ,222919,1676, , , , ,952DB,DEHAVI,DHC-2 MK 1  ,      ,        ,  ,STRD,2908,* ,  ,P & W ,R-985-AN-14B ,21131,        ,  ,     ,WA,WA45,AK,KETCHIKAN      ,KETCHIKAN INTERNATIONAL       ,,PAKT,,,55 42N,13150W,,,,,,,,,,,,PAKT,,,,,5,4,4,0,1,1,0,0,0,0,0,0,0,0,5,0,20200316,,,20200128,20200316,F3,N,,,,,,10000,,22,11000,,,,"ON MONDAY, MAY 13 AT APPROXIMATELY 1221L, TWO DEHAVILLAND FLOATPLANES COLLIDED NINE MILES NORTHEAST OF KETCHIKAN, A",MOUNTAIN AIR SERVICE          ,  ,5MVC,           ,  ,    ,      ,                    ,  , , , ,  , , , ,  ,CR,D, ,   , , , , , , ,COMM PILOT FLIGHT IN,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,Cruise/Level Flight ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                              ,                              ,                              ,                              ,                              ,Float Installation            ,                    ,                    ,                    ,                    ,19730201,, ,
20190426016859A,A,137,   , ,2019,4,26,20190426,740,9, , , , , , ,   ,1G71,1,G,7,1,3U  , , ,SD,  ,  ,222929,1685, , , , ,206JH,BELL  ,206B        ,      ,        ,  ,MULT,12815,* ,  ,ROLLS-,250-C20      ,B     ,        ,  ,     ,NM,NM09,OR,OAKRIDGE       ,,,,,,43 33N,12228W,,,,,,,,,,,,,,,,,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,20200316,,,20200708,20200914,3,N,,,,,,,,,650,,,,"ON APRIL 26TH, 2019 N206JH, A BELL 206B3, CRASHED WHILE CONDUCTING AN AGRICULTURAL SPRAY OPERATION IN CLEARWATER, O",WILBUR ELLIS CO               ,  ,13MG,           ,  ,    ,      ,                    ,72, , , ,  , , , ,  ,MN,S, ,   , , , , , , ,COMMERCIAL PILOT    ,                    ,                    ,                    ,                    ,7250,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,Maneuver            ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,UNDER 12501 LBS               ,ROTARY WING-HELI/GYROCOPTER   ,POWERED                       ,                              ,                              ,Skids                         ,                    ,                    ,                    ,                    ,19840301,, ,
20190714016419I,I,91,   , ,2019,7,14,20190714,1347,9, , , , , , ,   ,    , , , ,,    , , ,CV,  ,  ,222875,1641, , , , ,140FB,DITLOW,VANS ACFT IN,      ,        ,  ,EXPT,410,* ,  ,SUPERI,IO-360 SER   ,      ,        ,  ,     ,SW,SW19,TX,DENTON         ,,,DTO ,,,33 20N,97 18W,,,,,,,,,,,,DTO ,,,,,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,20200303,,,20200102,20200303,F9,N,,,,,,450,,50,,,,,"ON JULY 14, 2019 AT 1347 CST PILOT DECLARED EMERGENCY DUE TO BIRDSTRIKE. THE AIRCRAFT, AN AMATEUR HOME BUILT VANS R",N/A                           ,  ,    ,           ,  ,    ,      ,                    ,  , , , ,  , , , ,  ,CR,M, ,   , , , , , , ,A/LINE TRANSPORT PLT,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,Cruise/Level Flight ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                              ,                              ,                              ,                              ,                              ,Wheeled-Conventional          ,                    ,                    ,                    ,                    ,19551003,, ,
20190215016869I,I,91,   , ,2019,2,15,20190215,1020,9, , , , , , ,   ,1L71,1,L,7,1,3O  , , ,TR,  ,  ,222930,1686, , , , ,3SY  ,MOONEY,M20E        ,      ,        ,  ,STRD,5127,* ,  ,LYCOMI,I0360 SER    ,      ,        ,  ,     ,NM,NM03,CO,LONGMONT       ,VANCE BRAND                   ,,KLMO,,,,,,,,,,,,,,,,KLMO,,,,,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,20200316,,,20200220,20200316,3,N,,,,,,900,,24,1020,,,,PER THE PIC'S STATEMENT :,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20190814016489A,A,91,   , ,2019,8,14,20190814,1730,9, , , , , , ,   ,    , , , ,,    , , ,TR,  ,  ,222886,1648, , , , ,477AG,CSP LE,CAVALON     ,      ,        ,  ,EXPT,201,* ,  ,ROTAX ,914ULS       ,      ,        ,  ,     ,NM,NM01,WA,SHELTON        ,SANDERSON FIELD               ,,SHN ,,,,,,,,,,,,,,,,SHN ,,,,,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,20200305,,,20200204,20200305,4,N,,,,,,76,,10,374,,,,ACCELERATED ON T.O. ROLL. AIRCRAFT WAS NOT LIFTING OFF. PILOT PULLED STICK BACK SLIGHTLY AND NOSE PITCHED UP. AIRCR,N/A                           ,  ,    ,           ,  ,    ,      ,                    ,  , , , ,  , , , ,  ,TR,S, ,   , , , , , , ,SPORT PILOT         ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,Takeoff: Rotation   ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                              ,                              ,                              ,                              ,                              ,Wheeled-Tricycle              ,                    ,                    ,                    ,                    ,19421208,, ,
20190817016352A,A,141,   , ,2019,8,17,20190817,2140,G, , , , , , ,   ,1H71,1,H,7,1,3O  , , ,TR,  ,  ,222863,1635, , , , ,408ER,CESSNA,172S        ,      ,        ,  ,STRD,,* ,  ,LYCOMI,IO-360-L2A   ,      ,        ,  ,     ,SO,SO15,FL,DAYTONA BEACH  ,DAYTONA INTERNATIONAL AIRPORT ,,KDAB,,,29 18N,81 05W,,,,,,,,,,,,KDAB,,,,,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,20200302,,,20200302,20200302,1,N,,,,,,230,,18,230,,,,"ON AUGUST 17, 2019 N408ER A CE-172 WAS CONDUCTING TOUCH AND GOES AT NIGHT AT DAYTONA BEACH INTERNATIONAL AIRPORT. D",EMBRY RIDDLE AERONAUTICAL UNIV,  ,NX4S,           ,  ,    ,      ,                    ,  , , , ,  , , , ,  ,TX,S, ,   , , , , , , ,PRIVATE PILOT       ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,Taxi                ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,UNDER 12501 LBS               ,MONOPLANE-HIGH WING/PARA WING ,POWERED                       ,                              ,                              ,Wheeled-Tricycle              ,                    ,                    ,                    ,                    ,19961009,, ,
20190817016362A,A,141,   , ,2019,8,17,20190817,2140,G, , , , , , ,   ,1H71,1,H,7,1,3O  , , ,TR,  ,  ,222864,1636, , , , ,465ER,CESSNA,172S        ,      ,        ,  ,STRD,,* ,  ,LYCOMI,IO-360-L2A   ,      ,        ,  ,     ,SO,SO15,FL,DAYTONA BEACH  ,DAYTONA INTERNATIONAL AIRPORT ,,KDAB,,,29 18N,81 05W,,,,,,,,,,,,KDAB,,,,,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,20200302,,,20200302,20200302,1,N,,,,,,118,,30,118,,,,"ON AUGUST 17, 2019  AT DAYTONA BEACH INTERNATIONAL AIRPORT KDAB THE AIRMAN TAXIED FROM THE ERAU RAMP TO RUNWAY 25L ",EMBRY RIDDLE AERONAUTICAL UNIV,  ,NX4S,           ,  ,    ,      ,                    ,  , , , ,  , , , ,  ,TX,S, ,   , , , , , , ,PRIVATE PILOT       ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,Taxi                ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,UNDER 12501 LBS               ,MONOPLANE-HIGH WING/PARA WING ,POWERED                       ,                              ,                              ,Wheeled-Tricycle              ,                    ,                    ,                    ,                    ,19961009,, ,
20190902016699A,A,91,   , ,2019,9,2,20190902,1240,9, , , , , , ,   ,    , , , ,,    , , ,FL,  ,  ,222909,1669, , , , ,98278,PIPER ,J3C-65      ,      ,        ,  ,STRD,1130,* ,  ,CONT M,C-85         ,12F   ,        ,  ,     ,GL,GL23,MI,INDEPENDENCE TW,,,,,,42 45N,83 21W,,,,,,,,,,,,,,,,,2,1,0,1,1,0,1,0,0,0,0,0,0,0,0,2,20200310,,,20200121,20200310,1,N,,,,,,60,,50,2000,,,,"ON SEPTEMBER 2, 2019 AT APPROXIMATELY 1240 LOCAL TIME N98278, A J3 CUB ON FLOATS, IMPACTED TERRAIN SHORTLY AFTER TA",N/A                           ,  ,    ,           ,  ,    ,      ,                    ,  , , , ,  , , , ,  ,TC,D, ,   , , , , , , ,PRIVATE PILOT       ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,Takeoff: Climb Out  ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                              ,                              ,                              ,                              ,                              ,Float Installation            ,                    ,                    ,                    ,                    ,19550128,, ,
20190903016689I,I,135,   , ,2019,9,3,20190903,641,9, , , , , , ,   ,    , , , ,,    , , ,TR,  ,  ,222908,1668, , , , ,55SA ,BEECH ,65-A80      ,      ,        ,  ,STRD,20449,* ,  ,LYCOMI,IO-720A1B    ,A1B   ,        ,  ,     ,GL,GL15,MN,MINNEAPOLIS    ,,,MSP ,,,,,,,,,,,,,,,,MSP ,,,,,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,20200310,,,20200305,20200310,9,N,,,,,,583,,91,2986,,,,"WHILE TAXIING AT MSP, N55SA FAILED TO GIVE WAY TO A 757, SO GROUND CONTROL INSTRUCTED HIM TO MAKE A 180, AND DURING",BEMIDJI AVIAITON              ,  ,BEMA,           ,  ,    ,      ,                    ,  , , , ,  , , , ,  ,TX,M, ,   , , , , , , ,AIRLINE TRANSPORT   ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,Taxi                ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                              ,                              ,                              ,                              ,                              ,Wheeled-Tricycle              ,                    ,                    ,                    ,                    ,19570611,, ,
